Note ON: Channel: 1, Note: 60, Velocity: 127
Control Change: Channel: 1, Control: 7, Value: 1
Control Change: Channel: 1, Control: 2, Value: 5
Control Change: Channel: 1, Control: 7, Value: 5
Control Change: Channel: 1, Control: 2, Value: 9
Control Change: Channel: 1, Control: 7, Value: 9
Control Change: Channel: 1, Control: 2, Value: 13
Control Change: Channel: 1, Control: 7, Value: 13
Control Change: Channel: 1, Control: 2, Value: 17
Control Change: Channel: 1, Control: 7, Value: 17
Control Change: Channel: 1, Control: 2, Value: 21
Control Change: Channel: 1, Control: 7, Value: 21
Control Change: Channel: 1, Control: 2, Value: 25
Control Change: Channel: 1, Control: 7, Value: 25
Control Change: Channel: 1, Control: 2, Value: 29
Control Change: Channel: 1, Control: 7, Value: 29
Control Change: Channel: 1, Control: 2, Value: 33
Control Change: Channel: 1, Control: 7, Value: 33
Control Change: Channel: 1, Control: 2, Value: 37
Control Change: Channel: 1, Control: 7, Value: 37
Control Change: Channel: 1, Control: 2, Value: 41
Control Change: Channel: 1, Control: 7, Value: 41
Control Change: Channel: 1, Control: 2, Value: 45
Control Change: Channel: 1, Control: 7, Value: 45
Control Change: Channel: 1, Control: 2, Value: 49
Control Change: Channel: 1, Control: 7, Value: 49
Control Change: Channel: 1, Control: 2, Value: 53
Control Change: Channel: 1, Control: 7, Value: 53
Control Change: Channel: 1, Control: 2, Value: 59
Control Change: Channel: 1, Control: 7, Value: 59
Control Change: Channel: 1, Control: 2, Value: 63
Control Change: Channel: 1, Control: 7, Value: 63
Control Change: Channel: 1, Control: 2, Value: 67
Control Change: Channel: 1, Control: 7, Value: 67
Control Change: Channel: 1, Control: 2, Value: 71
Control Change: Channel: 1, Control: 7, Value: 71
Control Change: Channel: 1, Control: 2, Value: 75
Control Change: Channel: 1, Control: 7, Value: 75
Control Change: Channel: 1, Control: 2, Value: 79
Control Change: Channel: 1, Control: 7, Value: 79
Control Change: Channel: 1, Control: 2, Value: 83
Control Change: Channel: 1, Control: 7, Value: 83
Control Change: Channel: 1, Control: 2, Value: 89
Control Change: Channel: 1, Control: 7, Value: 89
Control Change: Channel: 1, Control: 2, Value: 91
Control Change: Channel: 1, Control: 7, Value: 91
Control Change: Channel: 1, Control: 2, Value: 93
Control Change: Channel: 1, Control: 7, Value: 93
Control Change: Channel: 1, Control: 2, Value: 97
Control Change: Channel: 1, Control: 7, Value: 97
Control Change: Channel: 1, Control: 2, Value: 99
Control Change: Channel: 1, Control: 7, Value: 99
Control Change: Channel: 1, Control: 2, Value: 103
Control Change: Channel: 1, Control: 7, Value: 103
Control Change: Channel: 1, Control: 2, Value: 105
Control Change: Channel: 1, Control: 7, Value: 105
Control Change: Channel: 1, Control: 2, Value: 107
Control Change: Channel: 1, Control: 7, Value: 107
Control Change: Channel: 1, Control: 2, Value: 109
Control Change: Channel: 1, Control: 7, Value: 109
Control Change: Channel: 1, Control: 2, Value: 111
Control Change: Channel: 1, Control: 7, Value: 111
Control Change: Channel: 1, Control: 2, Value: 113
Control Change: Channel: 1, Control: 7, Value: 113
Control Change: Channel: 1, Control: 2, Value: 115
Control Change: Channel: 1, Control: 7, Value: 115
Control Change: Channel: 1, Control: 2, Value: 116
Control Change: Channel: 1, Control: 7, Value: 116
Control Change: Channel: 1, Control: 2, Value: 117
Control Change: Channel: 1, Control: 7, Value: 117
Control Change: Channel: 1, Control: 2, Value: 118
Control Change: Channel: 1, Control: 7, Value: 118
Control Change: Channel: 1, Control: 2, Value: 120
Control Change: Channel: 1, Control: 7, Value: 120
Control Change: Channel: 1, Control: 2, Value: 121
Control Change: Channel: 1, Control: 7, Value: 121
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 123
Control Change: Channel: 1, Control: 7, Value: 123
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 121
Control Change: Channel: 1, Control: 7, Value: 121
Control Change: Channel: 1, Control: 2, Value: 120
Control Change: Channel: 1, Control: 7, Value: 120
Control Change: Channel: 1, Control: 2, Value: 121
Control Change: Channel: 1, Control: 7, Value: 121
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 123
Control Change: Channel: 1, Control: 7, Value: 123
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 125
Control Change: Channel: 1, Control: 7, Value: 125
Control Change: Channel: 1, Control: 2, Value: 126
Control Change: Channel: 1, Control: 7, Value: 126
Control Change: Channel: 1, Control: 2, Value: 127
Control Change: Channel: 1, Control: 7, Value: 127
Control Change: Channel: 1, Control: 2, Value: 126
Control Change: Channel: 1, Control: 7, Value: 126
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 120
Control Change: Channel: 1, Control: 7, Value: 120
Control Change: Channel: 1, Control: 2, Value: 118
Control Change: Channel: 1, Control: 7, Value: 118
Control Change: Channel: 1, Control: 2, Value: 116
Control Change: Channel: 1, Control: 7, Value: 116
Control Change: Channel: 1, Control: 2, Value: 114
Control Change: Channel: 1, Control: 7, Value: 114
Control Change: Channel: 1, Control: 2, Value: 112
Control Change: Channel: 1, Control: 7, Value: 112
Control Change: Channel: 1, Control: 2, Value: 111
Control Change: Channel: 1, Control: 7, Value: 111
Control Change: Channel: 1, Control: 2, Value: 110
Control Change: Channel: 1, Control: 7, Value: 110
Control Change: Channel: 1, Control: 2, Value: 109
Control Change: Channel: 1, Control: 7, Value: 109
Control Change: Channel: 1, Control: 2, Value: 110
Control Change: Channel: 1, Control: 7, Value: 110
Control Change: Channel: 1, Control: 2, Value: 108
Control Change: Channel: 1, Control: 7, Value: 108
Control Change: Channel: 1, Control: 2, Value: 106
Control Change: Channel: 1, Control: 7, Value: 106
Control Change: Channel: 1, Control: 2, Value: 104
Control Change: Channel: 1, Control: 7, Value: 104
Control Change: Channel: 1, Control: 2, Value: 103
Control Change: Channel: 1, Control: 7, Value: 103
Control Change: Channel: 1, Control: 2, Value: 104
Control Change: Channel: 1, Control: 7, Value: 104
Control Change: Channel: 1, Control: 2, Value: 102
Control Change: Channel: 1, Control: 7, Value: 102
Control Change: Channel: 1, Control: 2, Value: 103
Control Change: Channel: 1, Control: 7, Value: 103
Control Change: Channel: 1, Control: 2, Value: 102
Control Change: Channel: 1, Control: 7, Value: 102
Control Change: Channel: 1, Control: 2, Value: 100
Control Change: Channel: 1, Control: 7, Value: 100
Control Change: Channel: 1, Control: 2, Value: 98
Control Change: Channel: 1, Control: 7, Value: 98
Control Change: Channel: 1, Control: 2, Value: 96
Control Change: Channel: 1, Control: 7, Value: 96
Control Change: Channel: 1, Control: 2, Value: 95
Control Change: Channel: 1, Control: 7, Value: 95
Control Change: Channel: 1, Control: 2, Value: 94
Control Change: Channel: 1, Control: 7, Value: 94
Control Change: Channel: 1, Control: 2, Value: 92
Control Change: Channel: 1, Control: 7, Value: 92
Control Change: Channel: 1, Control: 2, Value: 90
Control Change: Channel: 1, Control: 7, Value: 90
Control Change: Channel: 1, Control: 2, Value: 88
Control Change: Channel: 1, Control: 7, Value: 88
Control Change: Channel: 1, Control: 2, Value: 86
Control Change: Channel: 1, Control: 7, Value: 86
Control Change: Channel: 1, Control: 2, Value: 84
Control Change: Channel: 1, Control: 7, Value: 84
Control Change: Channel: 1, Control: 2, Value: 82
Control Change: Channel: 1, Control: 7, Value: 82
Control Change: Channel: 1, Control: 2, Value: 80
Control Change: Channel: 1, Control: 7, Value: 80
Control Change: Channel: 1, Control: 2, Value: 79
Control Change: Channel: 1, Control: 7, Value: 79
Control Change: Channel: 1, Control: 2, Value: 78
Control Change: Channel: 1, Control: 7, Value: 78
Control Change: Channel: 1, Control: 2, Value: 76
Control Change: Channel: 1, Control: 7, Value: 76
Control Change: Channel: 1, Control: 2, Value: 72
Control Change: Channel: 1, Control: 7, Value: 72
Control Change: Channel: 1, Control: 2, Value: 70
Control Change: Channel: 1, Control: 7, Value: 70
Control Change: Channel: 1, Control: 2, Value: 68
Control Change: Channel: 1, Control: 7, Value: 68
Control Change: Channel: 1, Control: 2, Value: 66
Control Change: Channel: 1, Control: 7, Value: 66
Control Change: Channel: 1, Control: 2, Value: 64
Control Change: Channel: 1, Control: 7, Value: 64
Control Change: Channel: 1, Control: 2, Value: 62
Control Change: Channel: 1, Control: 7, Value: 62
Control Change: Channel: 1, Control: 2, Value: 60
Control Change: Channel: 1, Control: 7, Value: 60
Control Change: Channel: 1, Control: 2, Value: 58
Control Change: Channel: 1, Control: 7, Value: 58
Control Change: Channel: 1, Control: 2, Value: 57
Control Change: Channel: 1, Control: 7, Value: 57
Control Change: Channel: 1, Control: 2, Value: 56
Control Change: Channel: 1, Control: 7, Value: 56
Control Change: Channel: 1, Control: 2, Value: 54
Control Change: Channel: 1, Control: 7, Value: 54
Control Change: Channel: 1, Control: 2, Value: 52
Control Change: Channel: 1, Control: 7, Value: 52
Control Change: Channel: 1, Control: 2, Value: 50
Control Change: Channel: 1, Control: 7, Value: 50
Control Change: Channel: 1, Control: 2, Value: 48
Control Change: Channel: 1, Control: 7, Value: 48
Control Change: Channel: 1, Control: 2, Value: 46
Control Change: Channel: 1, Control: 7, Value: 46
Control Change: Channel: 1, Control: 2, Value: 44
Control Change: Channel: 1, Control: 7, Value: 44
Control Change: Channel: 1, Control: 2, Value: 40
Control Change: Channel: 1, Control: 7, Value: 40
Control Change: Channel: 1, Control: 2, Value: 38
Control Change: Channel: 1, Control: 7, Value: 38
Control Change: Channel: 1, Control: 2, Value: 34
Control Change: Channel: 1, Control: 7, Value: 34
Control Change: Channel: 1, Control: 2, Value: 32
Control Change: Channel: 1, Control: 7, Value: 32
Control Change: Channel: 1, Control: 2, Value: 30
Control Change: Channel: 1, Control: 7, Value: 30
Control Change: Channel: 1, Control: 2, Value: 26
Control Change: Channel: 1, Control: 7, Value: 26
Control Change: Channel: 1, Control: 2, Value: 22
Control Change: Channel: 1, Control: 7, Value: 22
Control Change: Channel: 1, Control: 2, Value: 20
Control Change: Channel: 1, Control: 7, Value: 20
Control Change: Channel: 1, Control: 2, Value: 16
Control Change: Channel: 1, Control: 7, Value: 16
Control Change: Channel: 1, Control: 2, Value: 12
Control Change: Channel: 1, Control: 7, Value: 12
Control Change: Channel: 1, Control: 2, Value: 8
Control Change: Channel: 1, Control: 7, Value: 8
Control Change: Channel: 1, Control: 2, Value: 4
Control Change: Channel: 1, Control: 7, Value: 4
Control Change: Channel: 1, Control: 2, Value: 0
Control Change: Channel: 1, Control: 7, Value: 0
Note OFF (via NOTE_ON with velocity 0): Channel: 1, Note: 67
Note ON: Channel: 1, Note: 69, Velocity: 127
Control Change: Channel: 1, Control: 2, Value: 1
Control Change: Channel: 1, Control: 7, Value: 1
Control Change: Channel: 1, Control: 2, Value: 5
Control Change: Channel: 1, Control: 7, Value: 5
Control Change: Channel: 1, Control: 2, Value: 9
Control Change: Channel: 1, Control: 7, Value: 9
Control Change: Channel: 1, Control: 2, Value: 15
Control Change: Channel: 1, Control: 7, Value: 15
Control Change: Channel: 1, Control: 2, Value: 19
Control Change: Channel: 1, Control: 7, Value: 19
Control Change: Channel: 1, Control: 2, Value: 23
Control Change: Channel: 1, Control: 7, Value: 23
Control Change: Channel: 1, Control: 2, Value: 27
Control Change: Channel: 1, Control: 7, Value: 27
Control Change: Channel: 1, Control: 2, Value: 31
Control Change: Channel: 1, Control: 7, Value: 31
Control Change: Channel: 1, Control: 2, Value: 35
Control Change: Channel: 1, Control: 7, Value: 35
Control Change: Channel: 1, Control: 2, Value: 39
Control Change: Channel: 1, Control: 7, Value: 39
Control Change: Channel: 1, Control: 2, Value: 43
Control Change: Channel: 1, Control: 7, Value: 43
Control Change: Channel: 1, Control: 2, Value: 47
Control Change: Channel: 1, Control: 7, Value: 47
Control Change: Channel: 1, Control: 2, Value: 51
Control Change: Channel: 1, Control: 7, Value: 51
Control Change: Channel: 1, Control: 2, Value: 55
Control Change: Channel: 1, Control: 7, Value: 55
Control Change: Channel: 1, Control: 2, Value: 59
Control Change: Channel: 1, Control: 7, Value: 59
Control Change: Channel: 1, Control: 2, Value: 61
Control Change: Channel: 1, Control: 7, Value: 61
Control Change: Channel: 1, Control: 2, Value: 65
Control Change: Channel: 1, Control: 7, Value: 65
Control Change: Channel: 1, Control: 2, Value: 69
Control Change: Channel: 1, Control: 7, Value: 69
Control Change: Channel: 1, Control: 2, Value: 71
Control Change: Channel: 1, Control: 7, Value: 71
Control Change: Channel: 1, Control: 2, Value: 73
Control Change: Channel: 1, Control: 7, Value: 73
Control Change: Channel: 1, Control: 2, Value: 77
Control Change: Channel: 1, Control: 7, Value: 77
Control Change: Channel: 1, Control: 2, Value: 79
Control Change: Channel: 1, Control: 7, Value: 79
Control Change: Channel: 1, Control: 2, Value: 81
Control Change: Channel: 1, Control: 7, Value: 81
Control Change: Channel: 1, Control: 2, Value: 83
Control Change: Channel: 1, Control: 7, Value: 83
Control Change: Channel: 1, Control: 2, Value: 84
Control Change: Channel: 1, Control: 7, Value: 84
Control Change: Channel: 1, Control: 2, Value: 86
Control Change: Channel: 1, Control: 7, Value: 86
Control Change: Channel: 1, Control: 2, Value: 87
Control Change: Channel: 1, Control: 7, Value: 87
Control Change: Channel: 1, Control: 2, Value: 88
Control Change: Channel: 1, Control: 7, Value: 88
Control Change: Channel: 1, Control: 2, Value: 90
Control Change: Channel: 1, Control: 7, Value: 90
Control Change: Channel: 1, Control: 2, Value: 91
Control Change: Channel: 1, Control: 7, Value: 91
Control Change: Channel: 1, Control: 2, Value: 93
Control Change: Channel: 1, Control: 7, Value: 93
Control Change: Channel: 1, Control: 2, Value: 94
Control Change: Channel: 1, Control: 7, Value: 94
Control Change: Channel: 1, Control: 2, Value: 95
Control Change: Channel: 1, Control: 7, Value: 95
Control Change: Channel: 1, Control: 2, Value: 96
Control Change: Channel: 1, Control: 7, Value: 96
Control Change: Channel: 1, Control: 2, Value: 97
Control Change: Channel: 1, Control: 7, Value: 97
Control Change: Channel: 1, Control: 2, Value: 99
Control Change: Channel: 1, Control: 7, Value: 99
Control Change: Channel: 1, Control: 2, Value: 100
Control Change: Channel: 1, Control: 7, Value: 100
Control Change: Channel: 1, Control: 2, Value: 99
Control Change: Channel: 1, Control: 7, Value: 99
Control Change: Channel: 1, Control: 2, Value: 98
Control Change: Channel: 1, Control: 7, Value: 98
Control Change: Channel: 1, Control: 2, Value: 96
Control Change: Channel: 1, Control: 7, Value: 96
Control Change: Channel: 1, Control: 2, Value: 94
Control Change: Channel: 1, Control: 7, Value: 94
Control Change: Channel: 1, Control: 2, Value: 92
Control Change: Channel: 1, Control: 7, Value: 92
Control Change: Channel: 1, Control: 2, Value: 90
Control Change: Channel: 1, Control: 7, Value: 90
Control Change: Channel: 1, Control: 2, Value: 88
Control Change: Channel: 1, Control: 7, Value: 88
Control Change: Channel: 1, Control: 2, Value: 87
Control Change: Channel: 1, Control: 7, Value: 87
Control Change: Channel: 1, Control: 2, Value: 86
Control Change: Channel: 1, Control: 7, Value: 86
Control Change: Channel: 1, Control: 2, Value: 84
Control Change: Channel: 1, Control: 7, Value: 84
Control Change: Channel: 1, Control: 2, Value: 82
Control Change: Channel: 1, Control: 7, Value: 82
Control Change: Channel: 1, Control: 2, Value: 80
Control Change: Channel: 1, Control: 7, Value: 80
Control Change: Channel: 1, Control: 2, Value: 78
Control Change: Channel: 1, Control: 7, Value: 78
Control Change: Channel: 1, Control: 2, Value: 77
Control Change: Channel: 1, Control: 7, Value: 77
Control Change: Channel: 1, Control: 2, Value: 76
Control Change: Channel: 1, Control: 7, Value: 76
Control Change: Channel: 1, Control: 2, Value: 74
Control Change: Channel: 1, Control: 7, Value: 74
Control Change: Channel: 1, Control: 2, Value: 72
Control Change: Channel: 1, Control: 7, Value: 72
Control Change: Channel: 1, Control: 2, Value: 70
Control Change: Channel: 1, Control: 7, Value: 70
Control Change: Channel: 1, Control: 2, Value: 68
Control Change: Channel: 1, Control: 7, Value: 68
Control Change: Channel: 1, Control: 2, Value: 67
Control Change: Channel: 1, Control: 7, Value: 67
Control Change: Channel: 1, Control: 2, Value: 66
Control Change: Channel: 1, Control: 7, Value: 66
Control Change: Channel: 1, Control: 2, Value: 64
Control Change: Channel: 1, Control: 7, Value: 64
Control Change: Channel: 1, Control: 2, Value: 63
Control Change: Channel: 1, Control: 7, Value: 63
Control Change: Channel: 1, Control: 2, Value: 64
Control Change: Channel: 1, Control: 7, Value: 64
Control Change: Channel: 1, Control: 2, Value: 65
Control Change: Channel: 1, Control: 7, Value: 65
Control Change: Channel: 1, Control: 2, Value: 66
Control Change: Channel: 1, Control: 7, Value: 66
Control Change: Channel: 1, Control: 2, Value: 65
Control Change: Channel: 1, Control: 7, Value: 65
Control Change: Channel: 1, Control: 2, Value: 64
Control Change: Channel: 1, Control: 7, Value: 64
Control Change: Channel: 1, Control: 2, Value: 62
Control Change: Channel: 1, Control: 7, Value: 62
Control Change: Channel: 1, Control: 2, Value: 63
Control Change: Channel: 1, Control: 7, Value: 63
Control Change: Channel: 1, Control: 2, Value: 62
Control Change: Channel: 1, Control: 7, Value: 62
Control Change: Channel: 1, Control: 2, Value: 63
Control Change: Channel: 1, Control: 7, Value: 63
Control Change: Channel: 1, Control: 2, Value: 64
Control Change: Channel: 1, Control: 7, Value: 64
Control Change: Channel: 1, Control: 2, Value: 62
Control Change: Channel: 1, Control: 7, Value: 62
Control Change: Channel: 1, Control: 2, Value: 63
Control Change: Channel: 1, Control: 7, Value: 63
Control Change: Channel: 1, Control: 2, Value: 62
Control Change: Channel: 1, Control: 7, Value: 62
Control Change: Channel: 1, Control: 2, Value: 60
Control Change: Channel: 1, Control: 7, Value: 60
Control Change: Channel: 1, Control: 2, Value: 59
Control Change: Channel: 1, Control: 7, Value: 59
Control Change: Channel: 1, Control: 2, Value: 58
Control Change: Channel: 1, Control: 7, Value: 58
Control Change: Channel: 1, Control: 2, Value: 56
Control Change: Channel: 1, Control: 7, Value: 56
Control Change: Channel: 1, Control: 2, Value: 54
Control Change: Channel: 1, Control: 7, Value: 54
Control Change: Channel: 1, Control: 2, Value: 52
Control Change: Channel: 1, Control: 7, Value: 52
Control Change: Channel: 1, Control: 2, Value: 50
Control Change: Channel: 1, Control: 7, Value: 50
Control Change: Channel: 1, Control: 2, Value: 48
Control Change: Channel: 1, Control: 7, Value: 48
Control Change: Channel: 1, Control: 2, Value: 46
Control Change: Channel: 1, Control: 7, Value: 46
Control Change: Channel: 1, Control: 2, Value: 44
Control Change: Channel: 1, Control: 7, Value: 44
Control Change: Channel: 1, Control: 2, Value: 42
Control Change: Channel: 1, Control: 7, Value: 42
Control Change: Channel: 1, Control: 2, Value: 40
Control Change: Channel: 1, Control: 7, Value: 40
Control Change: Channel: 1, Control: 2, Value: 38
Control Change: Channel: 1, Control: 7, Value: 38
Control Change: Channel: 1, Control: 2, Value: 36
Control Change: Channel: 1, Control: 7, Value: 36
Control Change: Channel: 1, Control: 2, Value: 34
Control Change: Channel: 1, Control: 7, Value: 34
Control Change: Channel: 1, Control: 2, Value: 32
Control Change: Channel: 1, Control: 7, Value: 32
Control Change: Channel: 1, Control: 2, Value: 28
Control Change: Channel: 1, Control: 7, Value: 28
Control Change: Channel: 1, Control: 2, Value: 26
Control Change: Channel: 1, Control: 7, Value: 26
Control Change: Channel: 1, Control: 2, Value: 24
Control Change: Channel: 1, Control: 7, Value: 24
Control Change: Channel: 1, Control: 2, Value: 20
Control Change: Channel: 1, Control: 7, Value: 20
Control Change: Channel: 1, Control: 2, Value: 19
Control Change: Channel: 1, Control: 7, Value: 19
Control Change: Channel: 1, Control: 2, Value: 16
Control Change: Channel: 1, Control: 7, Value: 16
Control Change: Channel: 1, Control: 2, Value: 14
Control Change: Channel: 1, Control: 7, Value: 14
Control Change: Channel: 1, Control: 2, Value: 12
Control Change: Channel: 1, Control: 7, Value: 12
Control Change: Channel: 1, Control: 2, Value: 8
Control Change: Channel: 1, Control: 7, Value: 8
Control Change: Channel: 1, Control: 2, Value: 6
Control Change: Channel: 1, Control: 7, Value: 6
Control Change: Channel: 1, Control: 2, Value: 4
Control Change: Channel: 1, Control: 7, Value: 4
Control Change: Channel: 1, Control: 2, Value: 2
Control Change: Channel: 1, Control: 7, Value: 2
Control Change: Channel: 1, Control: 2, Value: 0
Control Change: Channel: 1, Control: 7, Value: 0
Note OFF (via NOTE_ON with velocity 0): Channel: 1, Note: 69
Note ON: Channel: 1, Note: 71, Velocity: 127
Control Change: Channel: 1, Control: 2, Value: 3
Control Change: Channel: 1, Control: 7, Value: 3
Control Change: Channel: 1, Control: 2, Value: 9
Control Change: Channel: 1, Control: 7, Value: 9
Control Change: Channel: 1, Control: 2, Value: 15
Control Change: Channel: 1, Control: 7, Value: 15
Control Change: Channel: 1, Control: 2, Value: 19
Control Change: Channel: 1, Control: 7, Value: 19
Control Change: Channel: 1, Control: 2, Value: 25
Control Change: Channel: 1, Control: 7, Value: 25
Control Change: Channel: 1, Control: 2, Value: 31
Control Change: Channel: 1, Control: 7, Value: 31
Control Change: Channel: 1, Control: 2, Value: 37
Control Change: Channel: 1, Control: 7, Value: 37
Control Change: Channel: 1, Control: 2, Value: 43
Control Change: Channel: 1, Control: 7, Value: 43
Control Change: Channel: 1, Control: 2, Value: 49
Control Change: Channel: 1, Control: 7, Value: 49
Control Change: Channel: 1, Control: 2, Value: 55
Control Change: Channel: 1, Control: 7, Value: 55
Control Change: Channel: 1, Control: 2, Value: 61
Control Change: Channel: 1, Control: 7, Value: 61
Control Change: Channel: 1, Control: 2, Value: 65
Control Change: Channel: 1, Control: 7, Value: 65
Control Change: Channel: 1, Control: 2, Value: 69
Control Change: Channel: 1, Control: 7, Value: 69
Control Change: Channel: 1, Control: 2, Value: 75
Control Change: Channel: 1, Control: 7, Value: 75
Control Change: Channel: 1, Control: 2, Value: 79
Control Change: Channel: 1, Control: 7, Value: 79
Control Change: Channel: 1, Control: 2, Value: 83
Control Change: Channel: 1, Control: 7, Value: 83
Control Change: Channel: 1, Control: 2, Value: 87
Control Change: Channel: 1, Control: 7, Value: 87
Control Change: Channel: 1, Control: 2, Value: 93
Control Change: Channel: 1, Control: 7, Value: 93
Control Change: Channel: 1, Control: 2, Value: 97
Control Change: Channel: 1, Control: 7, Value: 97
Control Change: Channel: 1, Control: 2, Value: 101
Control Change: Channel: 1, Control: 7, Value: 101
Control Change: Channel: 1, Control: 2, Value: 103
Control Change: Channel: 1, Control: 7, Value: 103
Control Change: Channel: 1, Control: 2, Value: 107
Control Change: Channel: 1, Control: 7, Value: 107
Control Change: Channel: 1, Control: 2, Value: 111
Control Change: Channel: 1, Control: 7, Value: 111
Control Change: Channel: 1, Control: 2, Value: 112
Control Change: Channel: 1, Control: 7, Value: 112
Control Change: Channel: 1, Control: 2, Value: 114
Control Change: Channel: 1, Control: 7, Value: 114
Control Change: Channel: 1, Control: 2, Value: 116
Control Change: Channel: 1, Control: 7, Value: 116
Control Change: Channel: 1, Control: 2, Value: 117
Control Change: Channel: 1, Control: 7, Value: 117
Control Change: Channel: 1, Control: 2, Value: 119
Control Change: Channel: 1, Control: 7, Value: 119
Control Change: Channel: 1, Control: 2, Value: 120
Control Change: Channel: 1, Control: 7, Value: 120
Control Change: Channel: 1, Control: 2, Value: 121
Control Change: Channel: 1, Control: 7, Value: 121
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 125
Control Change: Channel: 1, Control: 7, Value: 125
Control Change: Channel: 1, Control: 2, Value: 126
Control Change: Channel: 1, Control: 7, Value: 126
Control Change: Channel: 1, Control: 2, Value: 125
Control Change: Channel: 1, Control: 7, Value: 125
Control Change: Channel: 1, Control: 2, Value: 126
Control Change: Channel: 1, Control: 7, Value: 126
Control Change: Channel: 1, Control: 2, Value: 127
Control Change: Channel: 1, Control: 7, Value: 127
Control Change: Channel: 1, Control: 2, Value: 126
Control Change: Channel: 1, Control: 7, Value: 126
Control Change: Channel: 1, Control: 2, Value: 125
Control Change: Channel: 1, Control: 7, Value: 125
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 125
Control Change: Channel: 1, Control: 7, Value: 125
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 125
Control Change: Channel: 1, Control: 7, Value: 125
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 125
Control Change: Channel: 1, Control: 7, Value: 125
Control Change: Channel: 1, Control: 2, Value: 124
Control Change: Channel: 1, Control: 7, Value: 124
Control Change: Channel: 1, Control: 2, Value: 122
Control Change: Channel: 1, Control: 7, Value: 122
Control Change: Channel: 1, Control: 2, Value: 120
Control Change: Channel: 1, Control: 7, Value: 120
Control Change: Channel: 1, Control: 2, Value: 118
Control Change: Channel: 1, Control: 7, Value: 118
Control Change: Channel: 1, Control: 2, Value: 116
Control Change: Channel: 1, Control: 7, Value: 116
Control Change: Channel: 1, Control: 2, Value: 114
Control Change: Channel: 1, Control: 7, Value: 114
Control Change: Channel: 1, Control: 2, Value: 112
Control Change: Channel: 1, Control: 7, Value: 112
Control Change: Channel: 1, Control: 2, Value: 111
Control Change: Channel: 1, Control: 7, Value: 111
Control Change: Channel: 1, Control: 2, Value: 110
Control Change: Channel: 1, Control: 7, Value: 110
Control Change: Channel: 1, Control: 2, Value: 108
Control Change: Channel: 1, Control: 7, Value: 108
Control Change: Channel: 1, Control: 2, Value: 107
Control Change: Channel: 1, Control: 7, Value: 107
Control Change: Channel: 1, Control: 2, Value: 106
Control Change: Channel: 1, Control: 7, Value: 106
Control Change: Channel: 1, Control: 2, Value: 104
Control Change: Channel: 1, Control: 7, Value: 104
Control Change: Channel: 1, Control: 2, Value: 103
Control Change: Channel: 1, Control: 7, Value: 103
Control Change: Channel: 1, Control: 2, Value: 102
Control Change: Channel: 1, Control: 7, Value: 102
Control Change: Channel: 1, Control: 2, Value: 101
Control Change: Channel: 1, Control: 7, Value: 101
Control Change: Channel: 1, Control: 2, Value: 100
Control Change: Channel: 1, Control: 7, Value: 100
Control Change: Channel: 1, Control: 2, Value: 98
Control Change: Channel: 1, Control: 7, Value: 98
Control Change: Channel: 1, Control: 2, Value: 96
Control Change: Channel: 1, Control: 7, Value: 96
Control Change: Channel: 1, Control: 2, Value: 94
Control Change: Channel: 1, Control: 7, Value: 94
Control Change: Channel: 1, Control: 2, Value: 90
Control Change: Channel: 1, Control: 7, Value: 90
Control Change: Channel: 1, Control: 2, Value: 88
Control Change: Channel: 1, Control: 7, Value: 88
Control Change: Channel: 1, Control: 2, Value: 86
Control Change: Channel: 1, Control: 7, Value: 86
Control Change: Channel: 1, Control: 2, Value: 84
Control Change: Channel: 1, Control: 7, Value: 84
Control Change: Channel: 1, Control: 2, Value: 82
Control Change: Channel: 1, Control: 7, Value: 82
